No.,Parent IsDouble,Current IsDouble,Parent node,Current node,Parent orientation,Current orientation,Current offset x,Current offset y
1,TRUE,FALSE,LEFT,FRONT,NORTH,EAST,1,-5
2,TRUE,FALSE,LEFT,FRONT,EAST,SOUTH,-5,3
3,TRUE,FALSE,LEFT,FRONT,SOUTH,WEST,1,5
4,TRUE,FALSE,LEFT,FRONT,WEST,NORTH,5,3
5,TRUE,FALSE,LEFT,BACK,NORTH,WEST,1,-5
6,TRUE,FALSE,LEFT,BACK,EAST,NORTH,-5,3
7,TRUE,FALSE,LEFT,BACK,SOUTH,EAST,1,5
8,TRUE,FALSE,LEFT,BACK,WEST,SOUTH,5,3
9,TRUE,FALSE,RIGHT,FRONT,NORTH,WEST,5,3
10,TRUE,FALSE,RIGHT,FRONT,EAST,NORTH,0,0
11,TRUE,FALSE,RIGHT,FRONT,SOUTH,EAST,3,-5
12,TRUE,FALSE,RIGHT,FRONT,WEST,SOUTH,0,0
13,TRUE,FALSE,RIGHT,BACK,NORTH,EAST,0,0
14,TRUE,FALSE,RIGHT,BACK,EAST,SOUTH,0,0
15,TRUE,FALSE,RIGHT,BACK,SOUTH,WEST,0,0
16,TRUE,FALSE,RIGHT,BACK,WEST,NORTH,0,0
